"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
-0.0194,-0.1012,0.00902,-0.0300,-0.0358,-0.0404,-0.0581,0.00391,-0.0638,0.04302,-0.1112,0.27279
-0.2318,0.41245,-0.1809,-0.0711,0.14112,-0.1249,-0.0970,-0.2016,0.14873,-0.1066,-0.0958,-0.3272
-0.0902,-0.0533,0.08902,0.23021,-0.0224,-0.0545,0.14322,0.07733,0.01487,0.10290,0.01184,-0.1272
-0.0902,-0.0533,0.08902,0.23021,-0.0224,-0.0545,0.14322,0.07733,0.01487,0.10290,0.01184,-0.1272
0.04251,0.05628,0.02902,0.01789,0.00089,0.01584,-0.0016,0.06265,-0.0402,-0.0887,-0.1727,-0.3272
-0.0725,-0.0259,-0.0709,0.00419,0.40823,-0.1109,-0.1147,0.00391,-0.0796,0.14482,0.01184,0.07279
-0.0194,0.09053,-0.0509,-0.0232,-0.0308,-0.0968,-0.0829,0.00391,-0.0087,0.32446,-0.0189,-0.1272
-0.1344,0.09738,-0.2509,-0.0506,-0.0625,-0.1531,-0.1253,-0.0401,0.13298,-0.0827,-0.1419,-0.1272
-0.3291,-0.0053,-0.1209,-0.0300,-0.0558,-0.1109,0.06548,-0.2457,0.46369,-0.0587,0.41184,-0.3272
-0.0548,0.27889,0.15902,-0.0232,0.04429,0.08626,0.23863,0.01859,-0.0481,0.04302,-0.1881,-0.1272
0.03366,-0.1628,0.24902,-0.0643,0.04262,-0.0545,-0.0334,0.01125,-0.0481,-0.0467,-0.1419,-0.1272
-0.1698,-0.0875,-0.0409,-0.0643,-0.0358,-0.1531,-0.1217,-0.0695,0.02274,-0.0587,-0.1881,-0.1272
-0.2406,-0.1491,0.09902,-0.0780,-0.0224,-0.0545,0.17502,-0.0988,0.00699,-0.0467,-0.1881,-0.1272
0.04251,0.09053,-0.0109,-0.0574,-0.0224,-0.1672,-0.0829,0.02594,-0.1268,0.04901,-0.1881,-0.1272
-0.1521,-0.0053,-0.2309,-0.0232,-0.0308,-0.1109,-0.1111,-0.0841,0.06999,-0.0168,-0.1573,0.07279
-0.1521,-0.0190,-0.2309,-0.0300,-0.0324,-0.1390,-0.1147,-0.0915,0.06211,-0.0108,-0.1573,0.07279
0.02481,-0.1012,0.08902,0.03158,-0.0107,0.19894,0.25629,0.01859,-0.0874,-0.0587,-0.1573,-0.1272
-0.0636,-0.0122,-0.1209,0.01789,0.03761,0.24119,0.09375,-0.0915,-0.1111,-0.0168,-0.0343,0.07279
-0.0548,0.06313,-0.2309,0.08638,-0.0057,0.12852,-0.0051,0.07733,0.02274,-0.0767,-0.1419,-0.1272
0.16640,-0.0738,0.29902,0.05898,-0.0291,-0.1672,-0.1288,0.02594,-0.2134,-0.0168,-0.1266,-0.1272
-0.0725,0.06998,-0.1509,0.17542,0.03928,0.48063,0.22449,0.11404,-0.0402,0.06697,-0.1573,-0.1272
-0.0459,0.04258,-0.0909,-0.0163,-0.0191,0.01584,0.02661,0.05531,0.09361,-0.0408,-0.0650,-0.1272
-0.0902,-0.0943,0.03902,-0.0095,-0.0224,-0.0968,-0.0016,-0.0401,0.07786,-0.0707,-0.1573,0.07279
0.04251,-0.0875,0.12902,-0.0232,-0.0141,0.04401,0.01954,0.09202,0.10148,-0.0108,-0.1881,-0.1272
-0.0548,0.11108,0.21902,-0.0506,0.04596,0.05810,0.23156,0.00391,-0.0796,0.03104,-0.1727,-0.1272
-0.0725,-0.0053,-0.1109,-0.0437,-0.0041,-0.0545,-0.0405,0.00391,0.05424,-0.0228,-0.1419,0.27279
-0.1167,0.14190,-0.2209,-0.0369,-0.0107,-0.0404,0.02661,-0.0107,0.06211,-0.0527,-0.0958,-0.1272
-0.0990,0.13505,-0.2209,0.14460,-0.0024,-0.1672,-0.1253,-0.0401,0.07786,-0.1605,0.07338,-0.1272
-0.0990,0.13505,-0.2209,0.14460,-0.0024,-0.1672,-0.1253,-0.0401,0.07786,-0.1605,0.07338,-0.1272
-0.0725,-0.0053,-0.1609,-0.0711,-0.0141,-0.0686,-0.0263,0.00391,0.08573,-0.0467,-0.1266,-0.1272
-0.1521,0.12135,-0.2009,-0.0643,-0.0191,-0.1390,-0.1111,-0.0401,0.10148,-0.0467,0.04261,-0.1272
0.08675,-0.1423,0.29902,-0.0369,-0.0224,0.15669,0.06548,0.01125,-0.0244,0.07895,0.04261,-0.1272
-0.0282,0.12135,-0.2209,-0.0437,-0.0224,-0.1109,-0.0970,-0.0401,0.02274,0.17476,0.01184,0.07279
-0.0548,0.06998,-0.1909,-0.0437,-0.0191,-0.0123,-0.0687,-0.0034,0.00699,-0.0707,-0.1419,0.07279
-0.0548,0.09738,-0.0409,-0.0300,0.00089,0.01584,0.17502,-0.0401,0.00699,-0.1066,-0.1419,-0.1272
-0.0548,0.11108,-0.0509,-0.0437,-0.0057,0.02993,0.16795,-0.0474,-0.0008,-0.1066,-0.1419,-0.1272
-0.0017,0.10080,-0.0109,-0.0300,-0.0057,-0.0686,-0.0122,0.06265,-0.0008,-0.0767,-0.1881,-0.3272
0.12215,-0.1423,0.26902,-0.0026,0.01090,0.17077,0.12908,0.12138,-0.0244,0.09691,-0.1266,-0.1272
0.04251,-0.0806,0.36902,-0.0232,0.00923,-0.0968,-0.0157,0.13607,0.18022,0.00110,0.01184,-0.1272
0.04251,-0.0806,0.36902,-0.0232,0.00923,-0.0968,-0.0157,0.13607,0.18022,0.00110,0.01184,-0.1272
-0.1344,0.17615,-0.2709,-0.0095,0.02760,-0.0264,-0.0581,-0.0107,0.16447,-0.0647,0.04261,0.07279
-0.1433,0.15217,-0.1509,-0.0369,-0.0024,-0.0545,0.11848,-0.0695,0.05424,-0.0827,-0.0496,-0.1272
-0.0017,0.06656,-0.0709,-0.0711,-0.0124,0.15669,0.25629,0.03328,-0.1189,0.27655,-0.2035,-0.3272
-0.1875,-0.0533,-0.0709,-0.0643,-0.0308,-0.1813,-0.1111,-0.0695,0.07786,-0.0587,-0.1881,-0.1272
-0.0459,-0.0670,0.42902,-0.0437,0.62860,0.08626,0.07255,0.04796,-0.1426,0.37236,-0.1573,-0.1272
-0.0813,-0.0190,0.19902,-0.0369,-0.0024,0.07218,0.09375,0.01859,0.03849,-0.0527,-0.2035,-0.1272
-0.0902,0.09738,-0.0109,-0.0506,0.52342,0.00176,0.01601,0.01125,-0.1189,0.28853,-0.1573,-0.1272
-0.1787,-0.1560,0.20902,-0.0506,-0.0308,0.02993,0.05135,-0.0621,0.10148,0.07296,-0.0189,0.07279
-0.1256,0.01519,-0.1209,-0.0232,-0.0191,0.04401,-0.0228,-0.0474,0.07786,-0.0408,-0.0496,-0.1272
0.02481,-0.0259,0.00902,-0.0437,0.03761,0.05810,0.31636,0.03328,-0.3000,0.77356,-0.0804,0.07279
-0.0548,-0.0259,-0.0109,-0.0437,-0.0425,-0.0968,-0.0546,-0.0107,0.06211,-0.0108,-0.1266,-0.1272
0.08675,-0.0943,0.16902,-0.0300,0.03261,0.25528,0.27749,0.07733,-0.1347,0.33643,-0.1419,-0.1272
-0.1167,0.06313,-0.1909,-0.0506,-0.0191,-0.1109,-0.0793,0.07733,0.13298,-0.0767,-0.2189,-0.1272
-0.0371,-0.0053,-0.0109,-0.0437,-0.0141,0.36795,0.33050,-0.0254,-0.0638,-0.0707,-0.1419,-0.1272
0.02481,-0.0259,0.00902,-0.0437,0.03761,0.05810,0.31636,0.03328,-0.3000,0.77356,-0.0804,0.07279
0.02481,-0.0259,0.01902,-0.0369,0.03761,0.04401,0.30576,0.03328,-0.3000,0.79152,-0.0958,-0.1272
-0.0548,-0.0259,-0.0109,-0.0437,-0.0425,-0.0968,-0.0546,-0.0107,0.06211,-0.0108,-0.1266,-0.1272
-0.2937,0.33710,-0.2309,-0.0780,-0.0708,0.35387,0.13615,-0.2163,0.34558,-0.1066,0.01184,-0.3272
-0.3203,0.04943,-0.1009,-0.0163,-0.0491,0.01584,0.21036,-0.2604,0.42432,-0.0348,0.38108,0.07279
-0.1344,0.16930,-0.2709,0.03158,0.02426,-0.1109,-0.0829,-0.0181,0.10936,-0.0587,0.04261,-0.1272
-0.1167,-0.0190,-0.0209,-0.0369,-0.0291,-0.1813,-0.0864,-0.0327,-0.0481,-0.0168,-0.1881,-0.1272
-0.0636,0.25491,-0.2109,-0.0026,-0.0141,-0.1531,-0.1288,-0.0034,0.06211,-0.0587,-0.0958,-0.1272
-0.0194,0.01176,-0.0909,-0.0437,-0.0124,-0.0404,-0.0405,0.03328,-0.0087,-0.0408,-0.2189,0.07279
-0.0017,0.05628,0.02902,-0.0300,-0.0057,-0.0686,0.01248,0.03328,0.06999,-0.0288,-0.0343,0.07279
-0.0459,-0.0190,0.02902,-0.0437,-0.0208,-0.1109,-0.0864,-0.0621,-0.0008,-0.0587,-0.0035,0.07279
-0.0194,0.01176,-0.0909,-0.0437,-0.0124,-0.0404,-0.0405,0.03328,-0.0087,-0.0408,-0.2189,0.07279
-0.0194,0.03231,-0.0509,-0.0300,-0.0174,-0.0545,0.06548,-0.0034,-0.0166,-0.0887,-0.1881,-0.1272
-0.0990,-0.0259,-0.0309,-0.0232,-0.0291,-0.1531,-0.0369,-0.0548,0.01487,-0.1066,-0.1573,-0.1272
-0.0194,0.03231,-0.0509,-0.0300,-0.0174,-0.0545,0.06548,-0.0034,-0.0166,-0.0887,-0.1881,-0.1272
-0.0459,-0.0806,0.40902,-0.0574,0.63361,0.02993,0.07961,0.04062,-0.1819,0.39033,-0.1727,-0.1272
-0.1875,0.06998,0.03902,-0.0574,0.00089,-0.0123,0.06195,0.01125,0.11723,0.07895,-0.1727,-0.1272
-0.0282,-0.1354,0.25902,-0.0026,0.00589,0.02993,0.11848,0.06265,0.04636,0.08494,-0.1266,0.07279
-0.0194,0.17615,0.24902,-0.0369,0.05765,0.29753,0.37643,0.01125,-0.0796,0.01907,-0.1727,-0.1272
-0.0459,0.02204,-0.0809,-0.0506,0.02760,-0.0545,0.00188,-0.0254,-0.0953,0.16278,-0.1419,-0.1272
0.00711,0.06313,-0.1809,-0.0232,-0.0057,-0.0686,0.21742,-0.0254,-0.1268,0.00110,-0.0958,-0.1272
0.00711,0.04943,-0.1709,-0.0232,-0.0041,-0.0264,0.22802,-0.0254,-0.1268,0.00110,-0.0958,-0.1272
0.15755,-0.1491,0.16902,-0.0163,-0.0124,0.08626,-0.0016,0.15075,0.00699,0.00709,-0.1112,0.07279
-0.0459,0.02204,-0.0809,-0.0506,0.02760,-0.0545,0.00188,-0.0254,-0.0953,0.16278,-0.1419,-0.1272
0.09560,-0.0875,0.03902,-0.0232,0.00422,-0.0404,0.05488,-0.0107,-0.1898,-0.0168,0.01184,0.07279
-0.0017,0.00834,0.00902,-0.0437,-0.0174,-0.0686,-0.0228,0.07733,0.06211,-0.0288,-0.0650,0.07279
-0.0459,0.02204,-0.1509,-0.0369,-0.0091,-0.1249,-0.0652,0.01859,0.04636,-0.0947,-0.1573,0.07279
0.04251,0.01519,-0.2309,-0.0232,0.05264,-0.0264,0.03368,-0.0401,-0.0796,-0.0348,0.07338,0.07279
-0.1167,0.11108,-0.1909,-0.0506,0.01591,0.08626,0.15029,-0.0621,0.02274,-0.0707,-0.1881,0.07279
-0.0902,0.37135,-0.1809,-0.0574,0.15114,-0.0827,0.15029,-0.0401,-0.0087,-0.0527,-0.2189,-0.1272
0.04251,0.01519,-0.2309,-0.0232,0.05264,-0.0264,0.03368,-0.0401,-0.0796,-0.0348,0.07338,0.07279
-0.0902,0.11450,-0.2709,-0.0026,-0.0208,-0.1813,-0.1182,0.09202,0.14085,-0.0827,-0.1881,-0.1272
-0.0282,0.12478,-0.2709,0.00419,-0.0124,-0.0686,-0.0440,0.06265,0.10148,-0.0767,-0.1419,-0.1272
-0.0459,-0.0190,-0.1009,-0.0643,-0.0091,0.07218,0.19622,-0.0548,0.06211,-0.1066,-0.1419,-0.1272
0.06020,0.06313,-0.2309,-0.0437,0.09771,0.15669,0.15382,0.12138,-0.1189,0.02506,-0.1573,-0.1272
-0.0105,0.54943,-0.2709,-0.0574,-0.0107,-0.1813,-0.1217,-0.0254,0.17235,-0.1006,0.07338,-0.1272
-0.0194,0.54943,-0.2709,-0.0506,-0.0091,-0.1813,-0.1217,-0.0254,0.18022,-0.1066,0.07338,-0.1272
-0.0282,0.04258,-0.1109,-0.0506,-0.0375,-0.1813,-0.1076,-0.0401,0.08573,0.15679,0.01184,0.27279
-0.1964,-0.1012,-0.1209,-0.0506,-0.0258,-0.1390,-0.0970,-0.0915,0.08573,-0.0527,-0.1573,-0.1272
-0.0282,0.14875,0.28902,-0.0369,0.05097,0.19894,0.30930,0.00391,-0.0559,0.00110,-0.1573,-0.1272
-0.2406,-0.0190,-0.1809,-0.0163,-0.0642,0.01584,0.18562,-0.2236,0.25109,-0.0168,0.39646,-0.1272
-0.2406,-0.0190,-0.1809,-0.0163,-0.0642,0.01584,0.18562,-0.2236,0.25109,-0.0168,0.39646,-0.1272
-0.1521,-0.0190,-0.2609,-0.0711,-0.0458,0.01584,-0.0723,-0.1135,0.06999,-0.0467,-0.0958,0.07279
-0.0371,0.35080,-0.2209,-0.0232,-0.0057,-0.0404,-0.0617,-0.0621,-0.0717,-0.0647,-0.0804,0.07279
0.00711,0.14875,-0.1609,-0.0437,0.00422,0.00176,0.05841,-0.0181,-0.0953,0.09691,-0.1266,-0.1272
-0.0017,0.12820,-0.1209,-0.0506,0.00256,-0.0827,0.01954,0.00391,-0.0638,0.06697,-0.1419,-0.1272
-0.0990,-0.0772,0.08902,-0.0369,-0.0107,-0.0404,-0.0051,0.03328,0.13298,-0.0108,-0.1881,-0.1272
-0.0459,0.02204,-0.0809,-0.0300,-0.0107,-0.0123,0.20682,-0.0401,0.01487,-0.0707,-0.1419,-0.1272
-0.0459,0.02204,-0.0809,-0.0369,-0.0107,0.01584,0.21742,-0.0401,0.00699,-0.0707,-0.1419,-0.1272
0.00711,0.14875,-0.1609,-0.0437,0.00422,0.00176,0.05841,-0.0181,-0.0953,0.09691,-0.1266,-0.1272
-0.0017,0.12820,-0.1209,-0.0506,0.00256,-0.0827,0.01954,0.00391,-0.0638,0.06697,-0.1419,-0.1272
-0.2760,-0.1286,-0.2709,-0.0506,-0.0625,0.15669,0.05841,-0.3778,0.29046,0.07895,0.55031,0.07279
-0.1787,-0.0943,-0.1909,-0.0574,-0.0358,-0.1813,-0.0935,-0.0988,0.02274,-0.0467,-0.1573,-0.1272
-0.2760,-0.1286,-0.2709,-0.0506,-0.0625,0.15669,0.05841,-0.3778,0.29046,0.07895,0.55031,0.07279
-0.0194,0.09738,0.27902,-0.0506,0.04930,0.22711,0.33403,0.00391,-0.1111,-0.0228,-0.1573,-0.1272
-0.2229,0.10423,-0.2509,-0.0506,-0.0007,0.07218,0.16795,-0.1722,0.18022,-0.0827,-0.0650,-0.1272
-0.0636,-0.0259,-0.0109,-0.0643,0.24796,-0.0827,0.14675,0.00391,-0.1583,0.08494,-0.1727,-0.1272
-0.1256,-0.0259,-0.1709,-0.0163,-0.0224,-0.0545,-0.0581,-0.0621,0.08573,-0.0467,-0.0343,0.07279
-0.0105,-0.0875,0.16902,0.01789,0.00256,-0.0686,-0.0122,0.05531,0.17235,-0.0288,0.01184,0.07279
-0.0902,-0.1354,0.19902,-0.0300,-0.0174,-0.1531,-0.1253,-0.0695,0.01487,-0.0767,-0.0189,0.07279
0.07790,-0.0053,0.72902,0.05898,0.87234,0.22711,0.07961,0.20949,-0.4496,0.80350,-0.1573,-0.3272
-0.0725,0.04943,-0.2409,-0.0506,0.01257,0.12852,0.18562,-0.1282,0.03062,-0.0707,-0.0496,-0.1272
-0.0725,0.04943,-0.2409,-0.0506,0.01257,0.12852,0.18562,-0.1282,0.03062,-0.0707,-0.0496,-0.1272
-0.1079,-0.0670,0.14902,0.20282,-0.0291,0.18486,0.29163,0.04062,0.08573,0.03703,0.01184,-0.1272
-0.1079,-0.0670,0.14902,0.20282,-0.0274,0.17077,0.28810,0.04062,0.08573,0.03104,0.01184,-0.1272
-0.1079,-0.0670,0.14902,0.20282,-0.0291,0.18486,0.29163,0.04062,0.08573,0.03703,0.01184,-0.1272
-0.1079,-0.0670,0.14902,0.20282,-0.0274,0.17077,0.28810,0.04062,0.08573,0.03104,0.01184,-0.1272
-0.1079,0.10423,-0.2709,-0.0232,-0.0241,-0.0545,-0.0864,0.01125,0.13298,-0.0947,-0.1727,-0.1272
-0.1344,0.04943,-0.0909,-0.0437,-0.0141,0.02993,0.13969,0.00391,0.21959,-0.0527,-0.1727,0.07279
-0.0636,0.28916,-0.2409,-0.0369,0.00422,-0.1249,-0.0935,-0.0621,-0.0874,-0.0587,-0.1266,-0.1272
-0.0636,0.10423,-0.2509,-0.0848,-0.0258,-0.0968,-0.0935,-0.0181,-0.1111,0.25260,-0.1881,-0.3272
-0.0459,0.00149,-0.2309,-0.0574,-0.0191,0.01584,-0.0546,-0.0254,0.01487,-0.0587,-0.0650,0.07279
-0.0813,0.04943,-0.0109,0.32610,-0.0291,0.28345,0.26336,0.10670,0.04636,-0.1006,-0.1573,-0.1272
-0.0902,0.04258,-0.0109,0.31926,-0.0291,0.26936,0.26336,0.09936,0.04636,-0.1006,-0.1573,-0.1272
-0.0459,0.06998,0.20902,-0.0574,0.02092,-0.0264,0.17502,-0.0474,-0.0953,-0.0228,-0.1419,-0.1272
-0.1344,0.07683,-0.1709,-0.0300,-0.0041,0.02993,0.19269,-0.0841,0.02274,-0.0827,-0.0343,-0.1272
-0.0902,0.01519,-0.2409,-0.0643,-0.0258,0.01584,-0.0157,-0.0841,0.04636,-0.1066,-0.2189,-0.3272
-0.1344,0.06998,-0.2009,-0.0300,0.00256,-0.0686,-0.0087,-0.1062,0.12510,-0.0647,-0.0035,0.07279
-0.0725,0.12135,-0.0309,-0.0506,0.45498,-0.0123,0.05841,-0.0254,-0.2449,0.55799,-0.1419,-0.1272
-0.0371,0.24464,-0.2409,-0.0506,-0.0491,-0.1672,-0.1359,0.03328,0.03849,-0.1964,-0.2035,-0.3272
-0.0282,-0.0738,-0.1009,-0.0369,-0.0241,-0.1390,-0.1005,0.03328,-0.0166,-0.0288,-0.1881,0.07279
-0.0282,-0.0738,-0.1009,-0.0369,-0.0241,-0.1390,-0.1005,0.03328,-0.0166,-0.0288,-0.1881,0.07279
-0.0813,0.06313,-0.2209,-0.0437,-0.0324,0.11443,-0.0157,-0.0474,0.08573,-0.0527,0.16569,0.07279
-0.0902,-0.1012,-0.0609,-0.0369,-0.0124,-0.1249,-0.0405,-0.0474,0.01487,-0.1126,-0.1419,-0.1272
-0.1256,-0.0190,-0.2309,-0.0711,-0.0041,0.04401,0.00894,-0.0695,0.03062,0.07296,-0.1419,-0.1272
-0.0902,-0.1012,-0.0609,-0.0369,-0.0124,-0.1249,-0.0405,-0.0474,0.01487,-0.1126,-0.1419,-0.1272
-0.0725,-0.0053,0.14902,-0.0163,-0.0007,-0.1109,-0.0299,0.03328,0.21172,-0.0288,0.01184,0.07279
-0.1167,0.18984,-0.2709,-0.0026,-0.0324,-0.1249,-0.0935,0.01125,0.13298,-0.0587,-0.1266,-0.1272
0.04251,0.05628,-0.1309,-0.0095,-0.0341,-0.0827,-0.0157,0.01125,-0.0953,-0.0408,-0.1419,-0.1272
0.04251,0.05628,-0.1309,-0.0095,-0.0341,-0.0827,-0.0157,0.01125,-0.0953,-0.0408,-0.1419,-0.1272
0.05136,0.05628,0.21902,-0.0369,0.30473,0.10035,0.22449,0.03328,-0.1504,0.21667,-0.1727,-0.1272
-0.0990,0.13847,-0.2509,-0.0026,-0.0191,0.00176,-0.0157,0.03328,0.10148,-0.0827,-0.1727,-0.1272
-0.1344,0.05628,-0.0709,-0.0506,-0.0174,-0.0686,0.06548,0.02594,0.18022,-0.0467,-0.1727,-0.1272
-0.1433,0.06313,-0.0609,-0.0437,-0.0141,-0.1109,0.05488,0.01859,0.16447,-0.0467,-0.1727,0.07279
0.05136,-0.1491,0.29902,-0.0369,0.03928,0.14260,0.13615,0.02594,-0.0402,-0.0767,-0.1112,-0.1272
-0.0813,-0.0943,0.20902,-0.0369,-0.0091,-0.0264,0.07255,0.03328,0.02274,-0.0647,-0.1881,-0.1272
-0.0548,0.12135,-0.1709,0.00419,-0.0057,-0.0968,-0.0723,0.06265,0.06211,-0.1006,-0.1112,-0.1272
-0.0371,-0.0190,0.05902,-0.0369,-0.0057,-0.0123,0.34110,0.00391,-0.0874,-0.0647,-0.1419,-0.1272
-0.0371,-0.0259,0.04902,-0.0437,-0.0091,0.01584,0.34463,0.00391,-0.0874,-0.0647,-0.1419,-0.1272
-0.0105,-0.0190,0.07902,0.02473,-0.0174,0.07218,0.28456,0.06265,-0.0638,-0.0228,-0.1573,-0.1272
-0.1698,-0.1080,-0.0209,-0.0437,-0.0224,0.07218,0.00894,0.04796,0.20384,-0.0228,-0.0958,0.07279
-0.1344,0.06998,-0.1509,0.08638,0.01925,0.00176,0.28103,0.01125,-0.0244,-0.0288,-0.1419,-0.1272
-0.0636,0.01519,-0.0609,-0.0232,-0.0274,-0.1249,-0.0652,-0.0254,-0.0244,-0.0647,-0.1112,-0.1272
-0.0636,0.01519,-0.0609,-0.0232,-0.0274,-0.1249,-0.0652,-0.0254,-0.0244,-0.0647,-0.1112,-0.1272
-0.0459,0.04258,0.05902,-0.0369,-0.0224,0.11443,0.25983,0.00391,-0.0481,-0.0707,-0.1573,-0.1272
-0.0902,0.03573,0.02902,-0.0095,-0.0224,-0.0123,0.03014,0.00391,0.11723,-0.0408,-0.0343,-0.1272
0.28144,-0.1560,0.32902,-0.0369,-0.0341,-0.0545,-0.0687,0.09936,-0.1583,0.18673,-0.0496,0.07279
-0.2583,0.21039,-0.1909,-0.0916,-0.0692,-0.0404,0.16442,-0.3191,0.20384,0.11488,0.39646,0.27279
-0.1256,0.38505,-0.2109,-0.0300,-0.0441,-0.0545,-0.0546,-0.1429,0.15660,-0.1366,0.15031,-0.3272
0.11330,-0.1423,0.19902,-0.0780,-0.0525,-0.0968,-0.0793,0.01492,-0.0717,0.09691,-0.0189,0.27279
0.04251,-0.1080,0.20902,-0.0300,0.01591,0.32570,0.34817,0.05531,-0.2134,0.22266,-0.1727,-0.1272
-0.1344,-0.0190,-0.1609,-0.0711,-0.0208,0.00176,0.00894,-0.0952,0.03849,0.07895,-0.1419,-0.1272
-0.1167,-0.0738,0.07902,-0.0643,0.00089,0.00176,-0.0263,-0.0474,0.02274,-0.0647,-0.1881,-0.1272
-0.1167,-0.0670,0.08902,-0.0643,0.00256,-0.0264,-0.0334,-0.0438,0.02274,-0.0587,-0.1881,0.07279
